match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Kieffer Moore,13.0,DM,28-316,31,0,0,0,1,2,0,0,0,0,0,0,0,3,1,6,14.3
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Neco Williams,3.0,WB,20-068,85,0,0,0,0,1,0,2,2,0,0,0,0,1,1,1,50.0
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Ben Davies,4.0,WB,28-057,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Connor Roberts,14.0,WB,25-270,90,0,0,0,0,1,0,0,1,1,0,0,0,8,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Chris Gunter,2.0,CB,31-334,90,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Ethan Ampadu,15.0,CB,20-279,54,0,1,0,1,0,0,0,0,2,0,0,0,4,2,0,100.0
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Joe Rodon,6.0,CB,23-241,90,0,0,0,0,0,0,1,3,0,0,0,0,2,4,1,80.0
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Danny Ward,12.0,GK,27-363,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,16 Players,,,,954,2,1,0,12,16,0,5,11,11,0,0,0,48,10,11,47.6
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Ádám Szalai,9.0,FW,33-188,90,0,0,0,3,6,1,0,1,1,0,0,0,6,4,2,66.7
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Roland Sallai,20.0,FW,24-024,76,0,0,0,2,2,0,1,0,1,0,0,0,8,2,1,66.7
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Szabolcs Schön,24.0,FW,20-261,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,András Schäfer,13.0,CM,22-063,64,0,0,0,1,2,0,0,5,0,0,0,0,6,0,2,0.0
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Loïc Nego,7.0,CM,30-151,26,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,László Kleinheisler,15.0,CM,27-068,77,0,0,0,0,2,0,1,3,1,0,0,0,6,2,1,66.7
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Dávid Sigér,18.0,CM,30-197,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Ádám Nagy,8.0,DM,25-363,87,0,0,0,2,0,0,0,2,2,0,0,0,6,1,0,100.0
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Roland Varga,17.0,DM,31-143,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Attila Fiola,5.0,WB,31-118,87,0,0,0,1,0,0,0,0,1,0,0,0,6,2,2,50.0
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Kevin Varga,19.0,WB,25-077,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Gergő Lovrencsics,14.0,WB,32-287,90,0,0,0,1,0,0,2,3,0,0,0,0,6,1,0,100.0
ba500d70,"Tuesday June 15, 2021",18:00,Hungary,h,Attila Szalai,4.0,CB,23-146,90,0,0,0,1,0,0,0,1,2,0,0,0,8,2,1,66.7
